up,down
05:40-06:01 0,06:00-06:21 0
05:46-06:05 0,06:09-06:30 0
05:50-06:22,06:18-06:40 0
05:52-06:11 0,06:27-06:52 0
05:58-06:19 0,06:30-07:05
05:58-06:29,06:36-06:59 0
06:04-06:29 0,06:38-07:13
06:06-06:37,06:45-07:08 0
06:13-06:35 0,06:46-07:19
06:14-06:47,06:54-07:20 0
06:22-06:44 0,06:54-07:29
06:22-06:55,07:02-07:41
06:30-07:00,07:03-07:28 0
06:31-06:51 0,07:10-07:49
06:39-07:10,07:11-07:33 0
06:40-07:03 0,07:18-08:00
06:48-07:25,07:19-07:47 0
06:49-07:12 0,07:26-08:07
06:57-07:33,07:27-07:54 0
06:58-07:23 0,07:34-08:20
07:06-07:43,07:35-08:03 0
07:07-07:33 0,07:43-08:29
07:15-07:52,07:44-08:13 0
07:16-07:42 0,07:52-08:32
07:24-08:02,07:53-08:17 0
07:25-07:49 0,08:02-08:29 0
07:33-08:13,08:02-08:45
07:34-08:01 0,08:09-08:36 0
07:42-08:21,08:12-08:52
07:43-08:08 0,08:16-08:44 0
07:51-08:32,08:22-09:03
07:52-08:18 0,08:23-08:52 0
08:00-08:37,08:30-08:56 0
08:01-08:27 0,08:33-09:14
08:10-08:37 0,08:37-09:06 0
08:10-08:46,08:42-09:21
08:19-08:44 0,08:44-09:12 0
08:20-08:58,08:50-09:27
08:28-08:52 0,08:51-09:18 0
08:29-09:07,08:58-09:26 0
08:37-09:03 0,08:58-09:38
08:37-09:13,09:05-09:32 0
08:46-09:12 0,09:06-09:46
08:46-09:22,09:12-09:39 0
08:54-09:33,09:15-09:51
08:55-09:21 0,09:19-09:46 0
09:03-09:40,09:24-10:02
09:04-09:29 0,09:26-09:53 0
09:13-09:39 0,09:32-10:07
09:13-09:52,09:33-10:00 0
09:22-09:49 0,09:40-10:04 0
09:23-09:58,09:40-10:18
09:31-09:57 0,09:47-10:12 0
09:34-10:12,09:49-10:26
09:40-10:08 0,09:54-10:21 0
09:45-10:20,09:58-10:35
09:49-10:14 0,10:01-10:27 0
09:55-10:28,10:07-10:41
09:58-10:24 0,10:10-10:37 0
10:04-10:37,10:16-10:52
10:07-10:33 0,10:19-10:44 0
10:13-10:46,10:25-11:01
10:16-10:43 0,10:28-10:54 0
10:21-10:58,10:34-11:11
10:25-10:49 0,10:37-11:02 0
10:31-11:05,10:43-11:09
10:34-11:01 0,10:46-11:11 0
10:40-11:18,10:51-11:27
10:43-11:07 0,10:55-11:18 0
10:51-11:27,11:00-11:33
10:52-11:17 0,11:04-11:30 0
11:01-11:26 0,11:10-11:43
11:02-11:37,11:13-11:38 0
11:10-11:37 0,11:20-11:54
11:13-11:48,11:22-11:47 0
11:19-11:43 0,11:30-12:05
11:26-11:58,11:31-11:56 0
11:28-11:55 0,11:40-12:08 0
11:36-12:10,11:40-12:15
11:37-12:01 0,11:49-12:15 0
11:46-12:10 0,11:50-12:26
11:46-12:20,11:58-12:22 0
11:55-12:18 0,12:00-12:34
11:59-12:32,12:07-12:31 0
12:04-12:27 0,12:12-12:43
12:10-12:43,12:16-12:42 0
12:13-12:37 0,12:23-12:56
12:21-12:56,12:25-12:52 0
12:22-12:46 0,12:34-12:59 0
12:31-12:55 0,12:36-13:11
12:33-13:08,12:43-13:06 0
12:40-13:03 0,12:48-13:20
12:44-13:13,12:52-13:19 0
12:49-13:14 0,13:00-13:33
12:55-13:29,13:01-13:26 0
12:58-13:23 0,13:10-13:33 0
13:03-13:38,13:11-13:47
13:07-13:32 0,13:19-13:44 0
13:12-13:44,13:25-14:03
13:16-13:40 0,13:28-13:55 0
13:22-13:54,13:35-14:11
13:25-13:51 0,13:37-14:02 0
13:32-14:09,13:45-14:19
13:34-14:00 0,13:46-14:11 0
13:42-14:17,13:55-14:20 0
13:43-14:08 0,13:56-14:31
13:52-14:17 0,14:04-14:28 0
13:52-14:27,14:06-14:41
14:01-14:27 0,14:13-14:39 0
14:02-14:37,14:16-14:51
14:10-14:34 0,14:22-14:47 0
